Experiment Results:
Epoch 159: Train Loss = 0.2588, Val Acc = 0.6522
Epoch 160: Train Loss = 0.2160, Val Acc = 0.7913
Epoch 161: Train Loss = 0.2197, Val Acc = 0.7565
Epoch 162: Train Loss = 0.2216, Val Acc = 0.7391
Epoch 163: Train Loss = 0.2160, Val Acc = 0.7565
Epoch 164: Train Loss = 0.2272, Val Acc = 0.7913
Epoch 165: Train Loss = 0.2533, Val Acc = 0.6609
Epoch 166: Train Loss = 0.3296, Val Acc = 0.6174
Epoch 167: Train Loss = 0.2197, Val Acc = 0.7391
Epoch 168: Train Loss = 0.2458, Val Acc = 0.6522
Epoch 169: Train Loss = 0.2402, Val Acc = 0.7826
Epoch 170: Train Loss = 0.2309, Val Acc = 0.7130
Epoch 171: Train Loss = 0.2458, Val Acc = 0.6696
Epoch 172: Train Loss = 0.2384, Val Acc = 0.7565
Epoch 173: Train Loss = 0.4413, Val Acc = 0.5391
Epoch 174: Train Loss = 0.2291, Val Acc = 0.7565
Epoch 175: Train Loss = 0.2179, Val Acc = 0.7217
Epoch 176: Train Loss = 0.3035, Val Acc = 0.6000
Epoch 177: Train Loss = 0.2942, Val Acc = 0.6000
Epoch 178: Train Loss = 0.2179, Val Acc = 0.7739
Epoch 179: Train Loss = 0.2216, Val Acc = 0.7652
Epoch 180: Train Loss = 0.2253, Val Acc = 0.7565
Epoch 181: Train Loss = 0.3259, Val Acc = 0.5739
Epoch 182: Train Loss = 0.2551, Val Acc = 0.6435
Epoch 183: Train Loss = 0.2588, Val Acc = 0.6609
Epoch 184: Train Loss = 0.2216, Val Acc = 0.7739
Epoch 185: Train Loss = 0.2235, Val Acc = 0.7478
Epoch 186: Train Loss = 0.2439, Val Acc = 0.6870
Epoch 187: Train Loss = 0.2235, Val Acc = 0.7565
Epoch 188: Train Loss = 0.2216, Val Acc = 0.7652
Epoch 189: Train Loss = 0.2309, Val Acc = 0.7391
Epoch 190: Train Loss = 0.2291, Val Acc = 0.7478
